GeneID	Symbol	Description
27022	FOXD3	forkhead box D3
22943	DKK1	dickkopf WNT signaling pathway inhibitor 1
4851	NOTCH1	notch 1
1499	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa
79727	LIN28A	lin-28 homolog A (C. elegans)
6997	TDGF1	teratocarcinoma-derived growth factor 1
5460	POU5F1	POU class 5 homeobox 1
63978	PRDM14	PR domain containing 14
6657	SOX2	SRY (sex determining region Y)-box 2
5087	PBX1	pre-B-cell leukemia homeobox 1
2103	ESRRB	estrogen-related receptor beta
4089	SMAD4	SMAD family member 4
1000	CDH2	cadherin 2, type 1, N-cadherin (neuronal)
2034	EPAS1	endothelial PAS domain protein 1
2041	EPHA1	EPH receptor A1
2516	NR5A1	nuclear receptor subfamily 5, group A, member 1
23411	SIRT1	sirtuin 1
57167	SALL4	spalt-like transcription factor 4
29842	TFCP2L1	transcription factor CP2-like 1
79923	NANOG	Nanog homeobox
23081	KDM4C	lysine (K)-specific demethylase 4C
1789	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta
8848	TSC22D1	TSC22 domain family, member 1
6299	SALL1	spalt-like transcription factor 1
2627	GATA6	GATA binding protein 6
1045	CDX2	caudal type homeobox 2
7157	TP53	tumor protein p53
2247	FGF2	fibroblast growth factor 2 (basic)
6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
3087	HHEX	hematopoietically expressed homeobox
9573	GDF3	growth differentiation factor 3
190	NR0B1	nuclear receptor subfamily 0, group B, member 1
8320	EOMES	eomesodermin
9698	PUM1	pumilio RNA-binding family member 1
9314	KLF4	Kruppel-like factor 4 (gut)
23528	ZNF281	zinc finger protein 281
84891	ZSCAN10	zinc finger and SCAN domain containing 10
7547	ZIC3	Zic family member 3
145258	GSC	goosecoid homeobox
2475	MTOR	mechanistic target of rapamycin (serine/threonine kinase)
1618	DAZL	deleted in azoospermia-like
